Tue Sep 08 21:00:09 MSK 2015	Teacher Network	Educating Cardiff episode 3 brings bad girls and behaviour problems	[Teacher Network, Education, Schools, Secondary schools, Primary schools, Behaviour management]
Tue Sep 08 18:21:16 MSK 2015	Sport	Paula Radcliffe reacts to doping implications: statement of denial in full	[Paula Radcliffe, Drugs in sport, Sport, Athletics]
Tue Sep 08 18:19:26 MSK 2015	Politics	On a drab Tuesday Angelina Jolie covers Lords in stardust	[Angelina Jolie, House of Lords, Politics, William Hague, Keith Vaz]
Tue Sep 08 18:14:03 MSK 2015	Business	Strong eurozone figures rally global markets after China gloom	[Eurozone crisis, Eurozone, Business, Europe, World news, Economics, European monetary union, European Union, Currencies, Banking, Euro, European Central Bank, European banks, Financial crisis, Financial sector, Chinese economy, China, Germany, Asia Pacific, Japan]
Tue Sep 08 18:09:42 MSK 2015	Society	Do lung cancer scans deter smokers from giving up?	[Smoking, Health, Society, Psychology, Science, Health & wellbeing]
Tue Sep 08 18:09:36 MSK 2015	Media	Netflix set to make new series of Charlie Brooker's dystopian drama Black Mirror	[Netflix, Black Mirror, Media, Charlie Brooker, Channel 4, Television, Culture, Television & radio]
Tue Sep 08 18:07:04 MSK 2015	Business	Royal London was right to have a Direct word	[Sports Direct International, Corporate governance, Retail industry, Business, Banking, Banking reform, Privatisation, Financial sector, Minimum wage, Whitbread, Food & drink industry]
Tue Sep 08 18:05:04 MSK 2015	Sport	Can chess checkmate the cheats?	[Chess, Magnus Carlsen]
Tue Sep 08 18:04:44 MSK 2015	Football	Gordon Strachan expected to extend his tenure as Scotland manager	[Scotland, Gordon Strachan, Euro 2016 qualifiers, Euro 2016, Football, Sport]
Tue Sep 08 18:00:22 MSK 2015	UK news	Rescuers revive escape artist after 'buried alive' stunt goes wrong	[UK news]
Tue Sep 08 18:00:04 MSK 2015	Children's books	Why I've written a book for teenagers about taking drugs	[Children and teenagers, Books, Culture, Teen books, Drugs, Family]
Tue Sep 08 17:50:11 MSK 2015	Politics	New 'summer-born' school rules will leave poorer children behind	[Education policy, Schools, School admissions, Education, Society, Politics, UK news, Early years education]
Tue Sep 08 17:45:38 MSK 2015	UK news	Carmichael acted 'dishonourably' in denying Sturgeon memo leak, court told	[Scotland, Scottish politics, Politics, UK news]
Tue Sep 08 17:40:20 MSK 2015	Comment is free	State-sanctioned killings without trial: are these Cameron’s British values? | Gary Younge	[UK security and counter-terrorism, David Cameron, UK criminal justice, Islamic State, Politics, UK news, Drones (military), Law, World news]
Tue Sep 08 17:39:47 MSK 2015	World news	Calais mayor disgusted by UK policy on refugees	[Refugees, France, Migration, House of Commons, Immigration and asylum, UK news, Politics, World news, Europe]
Tue Sep 08 17:36:18 MSK 2015	US news	Hillary Clinton to be joined by Bill on campaign trail next week, reports say	[US elections 2016, Hillary Clinton, Bill Clinton, Democrats, US politics, US news]
Tue Sep 08 17:34:18 MSK 2015	Comment is free	Fly-tipping has turned rambling into a weirdly retro activity | Patrick Barkham	[Waste, Rural affairs, Environment, Pollution, Birds, Wildlife, Solar power, UK news]
Tue Sep 08 17:30:56 MSK 2015	Football	Everton are using drones to film training sessions, says Michael Owen	[Everton, Roberto Martínez, Thierry Henry, Football, Sport]
Tue Sep 08 17:25:09 MSK 2015	UK news	Government fails to force Pat Finucane family to pay legal costs	[Pat Finucane, UK news, Northern Ireland]
Tue Sep 08 17:24:20 MSK 2015	Money	Labour throws lifeline to challenger banks in fight against Osborne tax	[Banks and building societies, Money, George Osborne, Politics]
Tue Sep 08 17:23:52 MSK 2015	Film	What makes the perfect Bond song – and has Sam Smith got what it takes?	[James Bond, Sam Smith, Spectre, Thriller, Film, Music]
Tue Sep 08 17:17:18 MSK 2015	Music	End of the Road proves you can fill bills with women and still have a sellout music festival	[End of the Road festival, Music festivals, Music, Festivals, Culture, Pop and rock, Folk music, Women, Laura Marling, Saint Etienne, Sufjan Stevens]
Tue Sep 08 17:17:09 MSK 2015	Society	Endometriosis affects one in 10 women worldwide: are you one of them?	[Endometriosis, Health, US healthcare]
Tue Sep 08 17:09:32 MSK 2015	US news	Cruz-Trump rally highlights push against Iran deal – with help from Sheldon Adelson	[US elections 2016, Iran, Iran's nuclear programme, Sheldon Adelson, Republicans, Ted Cruz, Marco Rubio, US politics, US news, Obama administration, Middle East and North Africa]
Tue Sep 08 17:07:12 MSK 2015	World news	Angela Merkel: plan to share 160,000 refugees across EU may not be enough	[Refugees, Germany, European commission, Europe, World news, Migration, Angela Merkel, European Union]
Tue Sep 08 17:06:47 MSK 2015	Music	It'll be alright on the night: how musicians cope with performance stress	[Classical music, Culture, Music, BBC Proms 2015, Opera]
Tue Sep 08 17:06:40 MSK 2015	Business	Markets rally on stimulus hopes after Chinese imports slump - as it happened	[Eurozone crisis, Chinese economy, China, Business, Economics, Financial sector, Stock markets]
Tue Sep 08 17:02:41 MSK 2015	Business	Berkeley shareholders rebuke housebuilder over pay policy	[Berkeley, Business, Executive pay and bonuses, Property, Money, Construction industry]
Tue Sep 08 17:02:40 MSK 2015	Film	Jean Darling obituary	[Film, US news, Comedy, Television, Musicals, Broadway, Radio, Frank Sinatra, Ireland]
Tue Sep 08 17:00:48 MSK 2015	UK news	Labour tells Theresa May to 'be British, be bold' in refugee crisis	[Immigration and asylum, Refugees, Yvette Cooper, Theresa May, House of Commons, Labour, Conservatives, UK news, Politics]
Tue Sep 08 17:00:16 MSK 2015	Comment is free	The 'Dear Fat People' video is tired, cruel and lazy – but I still fight for the woman who made it	[Body image, Society, Comedy, Culture]
Tue Sep 08 16:57:39 MSK 2015	Life and style	Starting over is an art: how to stop feeling lonely and make friends in college	[Life and style, US education, Education, US universities, US news]
Tue Sep 08 16:55:55 MSK 2015	Global development	Syrian refugee crisis: Lebanon steps up while Britain fails to engage | Mary Creagh	[Migration and development, Humanitarian response, Global development, Refugees, Lebanon, Middle East and North Africa, World news, Migration, David Cameron]
Tue Sep 08 16:55:44 MSK 2015	Sport	Report: Patriots spied on rivals 40 times and stole play sheets from locker rooms	[Deflategate, New England Patriots, Tom Brady, Sport, US sports, NFL]
Tue Sep 08 16:53:06 MSK 2015	Politics	George Osborne questioned by Lords economic affairs committee - Politics live	[Politics, UK news, UK security and counter-terrorism, Counter-terrorism policy, Syria, Islamic State, Drones (military), Middle East and North Africa, Refugees, Immigration and asylum, Theresa May, Yvette Cooper, Migration, George Osborne]
Tue Sep 08 16:52:20 MSK 2015	Technology	Google gets into the home-delivered grocery game with Express	[Google, US news, Food & drink industry, Business, Technology]
Tue Sep 08 16:52:03 MSK 2015	Sport	Horse racing tips: Wednesday 9 September	[Horse racing tips, Horse racing, Sport]
Tue Sep 08 16:40:28 MSK 2015	Art and design	The 21st-century Tower of Babel made of bone-china mini shops	[Ceramics, Art and design, V&A, Museums, Exhibitions, Culture]
Tue Sep 08 16:39:13 MSK 2015	UK news	Anjem Choudary released on bail after surety hitch	[UK news]
Tue Sep 08 16:38:55 MSK 2015	Music	Dum, diddly-dum dum ... why everything in the charts sounds like Show Me Love	[Pop and rock, Music]
Tue Sep 08 16:32:48 MSK 2015	Comment is free	Does Iain Duncan Smith really think disabled people are less ‘normal’? | Frances Ryan	[Disability, Benefits, Iain Duncan Smith, Politics, Society]
Tue Sep 08 16:28:18 MSK 2015	US news	Iran deal: Obama may have support he needs to avoid using veto	[US Senate, Iran's nuclear programme, Democrats, US politics, US news, World news, Republicans, Iran]
Tue Sep 08 16:26:42 MSK 2015	Politics	Scottish Tories suspend councillor over Nicola Sturgeon tweet	[Scottish politics, Nicola Sturgeon, Conservatives, Scotland, UK news, Politics]
Tue Sep 08 16:24:53 MSK 2015	Stage	Roland Rees obituary	[Stage, Theatre, National Theatre, Broadway, John Hurt, New York, London, Wales, Adrian Mitchell]
Tue Sep 08 16:17:30 MSK 2015	Film	Straight Outta Compton is streets ahead at the UK box office	[Film, Culture, Straight Outta Compton, Inside Out, Mission: Impossible - Rogue Nation, 45 Years, Legend, Irrational Man, Pixels, UK news, American Ultra]
Tue Sep 08 16:16:17 MSK 2015	Higher Education Network	Four steps to killing off sexism in science	[Gender, Higher Education Network, Higher education, Education, Academics]
Tue Sep 08 16:15:00 MSK 2015	World news	French pair accused of murdering son by shutting him in washing machine	[France, Europe, World news]
Tue Sep 08 16:12:53 MSK 2015	UK news	Peter Ball victims accuse C of E, police and CPS of sexual abuse cover-up	[Crime, Child protection, Anglicanism, Society, UK news, Crown Prosecution Service, Police, Law]
Tue Sep 08 16:06:06 MSK 2015	US news	Virginia TV news shooting victim leaves hospital with message of hope	[Virginia TV news shooting, US news, Virginia, US crime]
Tue Sep 08 16:05:55 MSK 2015	Film	Brie Larson at Telluride: 'It’s so easy to fall into a world of pleasing everyone'	[Brie Larson, Telluride film festival 2015, Room, Telluride film festival, Film, Books, Culture, Festivals]
Tue Sep 08 16:03:48 MSK 2015	Culture	I've had enough of celebrities making empty apologies for their racism	[Idris Elba, Kelly Osbourne, Culture, Race issues, US television, Ben Affleck, Television]
Tue Sep 08 16:03:39 MSK 2015	Football	Send us your photos of old, abandoned or revitalised sports stadiums	[Football, Sport]
Tue Sep 08 16:03:30 MSK 2015	Fashion	Madchester, grunge chic and Kate Moss: how the 90s shaped our world	[Fashion, Life and style, This Is England, Culture]
Tue Sep 08 16:00:02 MSK 2015	xAd partner zone	Mobile disruptors: James Davis, xAd Inc – video	[xAd partner zone]
Tue Sep 08 15:58:31 MSK 2015	Life and style	How not to let kale ruin your marriage: a handy guide to greening your loved ones	[Life and style, Environment]
Tue Sep 08 15:58:19 MSK 2015	Books	The Prank: The Best of Young Chekhov, selected by Anton Chekhov review – impatient, comic exuberance	[Short stories, Anton Chekhov, Fiction, Paperbacks, Books, Culture]
Tue Sep 08 15:53:36 MSK 2015	Football	The Fiver | Ho-hum qualifiers followed by humiliatingly brief major-tournament cameos	[Football, Sport]
Tue Sep 08 15:52:01 MSK 2015	World news	How UK government decided to kill Reyaad Khan	[Islamic State, World news, Military, David Cameron, Law, Drones (military), UK security and counter-terrorism, Politics, UK news, Syria, Royal Air Force, Middle East and North Africa]
Tue Sep 08 15:36:55 MSK 2015	Business	What's the catch? MPs warn UKFI over banks' £1 privatisation fees	[UKFI (UK Financial Investments), Banking, Business, Goldman Sachs, UBS, Royal Bank of Scotland, Lloyds Banking Group, Privatisation, Politics, Economic policy, European banks, Financial sector, UK news]
Tue Sep 08 15:33:57 MSK 2015	Books	Can you pick the quotes from Ted Dawe's banned novel Into the River?	[Children and teenagers, Books, Fiction, New Zealand, Patrick Ness, John Boyne]
Tue Sep 08 15:26:56 MSK 2015	Global Development Professionals Network	Sexual assaults against aid workers: first stories from the survey	[Global development professionals network, Rape, Humanitarian response]
Tue Sep 08 15:26:00 MSK 2015	Sport	Rugby World Cup preview No3: Fiji	[Rugby World Cup 2015 previews, Rugby World Cup 2015, Fiji rugby union team, Rugby union, Rugby World Cup, Sport]
Tue Sep 08 15:25:38 MSK 2015	Music	Cult heroes: Jean-Claude Vannier, the sound sculptor in Serge Gainsbourg's shadow	[Pop and rock, Music, Serge Gainsbourg, Culture]
Tue Sep 08 15:24:40 MSK 2015	Environment	Europe strengthens ban on seal products after WTO challenge	[Conservation, Wildlife, Animal welfare, Animals, Environment, World news, Canada, European Union, Americas, Europe]
Tue Sep 08 15:23:41 MSK 2015	Comment is free	Drone strikes in Syria must have independent scrutiny and transparency | Keir Starmer	[UK security and counter-terrorism, Drones (military), World news, UK news, David Cameron, Politics, Syria, Middle East and North Africa, Foreign policy, Human rights, Law, Islamic State]
Tue Sep 08 15:23:08 MSK 2015	World news	Burundi opposition spokesman shot dead as violence escalates	[Burundi, Africa, World news]
Tue Sep 08 15:19:40 MSK 2015	Culture	What the 90s meant: in with hedonism, out with believing in something	[Culture, Globalisation, Feminism, Britpop]
Tue Sep 08 15:18:58 MSK 2015	Football	Roma hope to unite sports world to raise funds for refugees	[Roma, Serie A, Football, European club football, Sport, Refugees, World news]
Tue Sep 08 15:17:08 MSK 2015	Sport	Paula Radcliffe denies ‘cheating in any form’ after allusions in parliament	[Paula Radcliffe, Athletics, Sport]
Tue Sep 08 15:08:20 MSK 2015	Comment is free	Anish Kapoor must reconsider – Dirty Corner should be cleaned | Jonathan Jones	[Sculpture, Art and design, Anish Kapoor, Culture, Art, France, World news]
Tue Sep 08 15:08:07 MSK 2015	Comment is free	This assisted dying bill is unsafe and unworkable | Tanni Grey-Thompson	[Assisted dying, Law, Politics, Society, Medicine, UK news]
Tue Sep 08 14:58:50 MSK 2015	News	How does UK refugee commitment compare with other countries?	[Europe, Refugees, World news, Politics, UK news, Germany, European commission, Sweden, Hungary, Italy, Greece, European Union]
Tue Sep 08 14:52:20 MSK 2015	News	Inside the 11 September edition	[]
Tue Sep 08 14:46:58 MSK 2015	UK news	Revised HS2 plans for Euston extend build time by seven years	[HS2, Rail transport, Transport, UK news, London, Gentrification, Cities]
Tue Sep 08 14:45:45 MSK 2015	Global development	Angelina Jolie: Isis atrocities show need to tackle sexual violence in conflict	[Global development, Ending sexual violence in conflict summit, Rape, Society, Angelina Jolie, William Hague]
Tue Sep 08 14:45:18 MSK 2015	Visa partner zone	Oxfam improves disaster aid distribution – without cold, hard cash	[Visa partner zone]
Tue Sep 08 14:44:16 MSK 2015	Politics	Parents of summer-born children get right to delay start of school	[Education policy, Primary schools, Early years education, Education, Schools, UK news, Children, Society, Politics]
Tue Sep 08 14:43:58 MSK 2015	World news	Refugee crisis: Germany says it could take 500,000 people a year - as it happened	[Migration, Refugees, Greece, World news, Hungary, Germany, Europe, Syria, Middle East and North Africa]
Tue Sep 08 14:43:11 MSK 2015	US news	Oregon police chief resigns after two officers file complaints of racism	[US news, Oregon, US policing]
Tue Sep 08 14:38:51 MSK 2015	Technology	Samsung 'to cut 10% of back office jobs and halve expenditure'	[Samsung, Computing, Technology, Business, Technology sector, Smartphones, World news, South Korea, Asia Pacific, Mobile phones]
Tue Sep 08 14:30:54 MSK 2015	Stage	Dusty review – dire, perfunctory tribute to the 60s pop star	[Theatre, Stage, Culture, Dusty Springfield, Music, Pop and rock]
Tue Sep 08 14:28:28 MSK 2015	World news	'Everyone wants to leave': death of hope drives young Syrians to Europe	[Syria, Refugees, Migration, European Union, Europe, Middle East and North Africa, World news]
Tue Sep 08 14:21:09 MSK 2015	World news	Life as the descendant of refugees: share your perspective on the European crisis	[Refugees, Europe, World news, Migration]
Tue Sep 08 14:19:23 MSK 2015	News	Drone strikes on UK jihadis raise key questions about future conflict	[Drones (military), Syria, Islamic State, UK news, World news, Defence policy]
Tue Sep 08 14:14:46 MSK 2015	Business	Justin King, former Sainsbury's boss, joins private equity firm	[Justin King, Business, J Sainsbury, UK news, Private equity]
Tue Sep 08 14:12:49 MSK 2015	Television & radio	Radio X: the radio equivalent of a chunky chocolate bar for men	[Radio, Television & radio, Chris Moyles, Ricky Wilson, Vernon Kay, Media, Music, Culture]
Tue Sep 08 14:11:08 MSK 2015	Comment is free	How do you know your cat loves you? Let me count 25 ways | Fay Schopen	[Cats, Animals, Pets, Life and style, UK news, Australia news]
Tue Sep 08 14:08:39 MSK 2015	Info	Guardian Labs: creating unstoppable stories	[Guardian Labs blog]
Tue Sep 08 14:07:54 MSK 2015	Marketing Agencies Association partner zone	The Best Awards 2016: an introduction and key infomation	[Marketing Agencies Association partner zone]
Tue Sep 08 14:00:01 MSK 2015	Music	The playlist: African pop – Baloji, Sipho the Gift, Runtown and more	[Music, Culture, Pop and rock, Rap, World music, Baloji]
Tue Sep 08 14:00:01 MSK 2015	Children's books	Looking Glass Girl by Cathy Cassidy – review	[Children and teenagers, Books, Culture, Children's books: 8-12 years, Adventure (children and teens), Children's fantasy books (children's and teens), Lewis Carroll]
Tue Sep 08 13:59:47 MSK 2015	Music	Wagner’s Wedding March manuscript goes on sale	[Classical music, Music, Culture, Richard Wagner, Opera, Weddings]
Tue Sep 08 13:56:00 MSK 2015	Guardian Masterclasses	Meet the tutor: Comic creator Karrie Fransman	[Guardian Masterclasses]
Tue Sep 08 13:55:26 MSK 2015	Guardian Masterclasses	Meet the tutor: Food business entrepreneur Jim Cregan	[Guardian Masterclasses]
Tue Sep 08 13:54:36 MSK 2015	Comment is free	Bringing the Terminator to justice is only the start of creating peace in Congo | Vava Tampa	[Democratic Republic of the Congo, War crimes, Law, Africa, World news, International criminal court, International criminal justice, Human rights]
Tue Sep 08 13:54:29 MSK 2015	Guardian Masterclasses	What we learned about... non-fiction writing	[Guardian Masterclasses]
Tue Sep 08 13:54:24 MSK 2015	Football	Paul Dickov parts company with Doncaster Rovers	[Doncaster Rovers, League One, Football, Sport]
Tue Sep 08 13:53:30 MSK 2015	Travel	Has Las Vegas lost its allure as the capital of weddings with a twist?	[Las Vegas holidays, Wedding, honeymoon and stag trips, North and Central America, United States, Travel, Weddings, Life and style, Nevada]
Tue Sep 08 13:46:03 MSK 2015	Media	Hanif Kureishi joins writers calling for release of Vice journalist in Turkey	[Vice Media, Media, Press freedom, UK news, Turkey, Journalist safety]
Tue Sep 08 13:43:59 MSK 2015	Guardian Masterclasses	What we learned about... comment writing	[Guardian Masterclasses]
Tue Sep 08 13:42:29 MSK 2015	Guardian Masterclasses	Success stories: Author and blogger Helen Barbour	[Guardian Masterclasses]
Tue Sep 08 13:41:41 MSK 2015	Guardian Masterclasses	Success stories: Crime writer P.D. Viner	[Guardian Masterclasses]
Tue Sep 08 13:41:25 MSK 2015	Global Development Professionals Network	Eight ways to reach 100% renewable in developing countries	[Global development professionals network, Renewable energy, Solar power, COP 21: UN climate change conference | Paris, Energy, Environment, Africa, Rwanda, Kenya]
Tue Sep 08 13:41:21 MSK 2015	Comment is free	Opening my home to refugees has been humbling and eye-opening | Alison Phipps	[Refugees, World news, UK news, Migration, Eritrea, Immigration and asylum, Volunteering]
Tue Sep 08 13:35:31 MSK 2015	UK news	Ministers drew up 'kill' list of British jihadis fighting with Isis in Syria	[UK security and counter-terrorism, Islamic State, Counter-terrorism policy, Syria, UK news, Politics]
Tue Sep 08 13:33:57 MSK 2015	UK news	Thunderstorm Barry? Why the Met Office is encouraging the public to #nameourstorms	[Met Office, UK news, Weather, Meteorology, Natural disasters and extreme weather, World news, Hurricanes]
Tue Sep 08 13:23:25 MSK 2015	Sport	Tony McCoy insists the Doncaster Leger Legends race will be his last	[Tony McCoy, Horse racing, Sport]
Tue Sep 08 13:21:10 MSK 2015	Film	Behind the Legend: how accurate is Tom Hardy's Krays drama?	[Legend, Tom Hardy, Film, Culture]
Tue Sep 08 13:17:27 MSK 2015	World news	What spawned Russia's 'troll army'? Experts on the red web share their views	[Russia, Europe, World news, Vladimir Putin, Internet, Freedom of information, Politics, Ukraine, Edward Snowden, Freedom of speech, Media, Technology]
Tue Sep 08 13:14:51 MSK 2015	Environment	Bernie Fraser quits as chairman of Climate Change Authority	[Climate change, Australia news, Australian politics, Coalition, Environment, Greg Hunt]
